common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Alder Flycatcher,Empidonax alnorum,Empidonax,alnorum,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,Corvidae,1,5,2,2,1,1,2,1,2,1,2,1,2,1,1,1,0,26,2015
American Goldfinch,Carduelis tristis,Carduelis,tristis,Fringillidae,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2015
American Kestrel,Falco sparverius,Falco,sparverius,Falconidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
American Redstart,Setophaga ruticilla,Setophaga,ruticilla,Parulidae,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2015
American Robin,Turdus migratorius,Turdus,migratorius,Turdidae,0,1,1,0,0,2,2,1,1,5,0,0,1,1,0,0,2,17,2015
American White Pelican,Pelecanus erythrorhynchos,Pelecanus,erythrorhynchos,Pelecanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,leucocephalus,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Baltimore oriole,Icterus galbula,Icterus,galbula,Icteridae,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,2015
Barn Swallow,Hirundo rustica,Hirundo,rustica,Hirundinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bay-breasted Warbler,Dendroica castanea,Dendroica,castanea,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Belted Kingfisher,Ceryle alcyon,Ceryle,alcyon,Alcedinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Black Tern,Chlidonias niger,Chlidonias,niger,Laridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Black-and-white Warbler,Mniotilta varia,Mniotilta,varia,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Blackburnian Warbler,Dendroica fusca,Dendroica,fusca,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Black-capped Chickadee,Parus atricapillus,Parus,atricapillus,Paridae,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,6,2015
Blackpoll Warbler,Dendroica striata,Dendroica,striata,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
