common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Alder Flycatcher,Empidonax alnorum,Empidonax,alnorum,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,Corvidae,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,6,2004
American Goldfinch,Carduelis tristis,Carduelis,tristis,Fringillidae,3,1,2,0,0,4,0,2,1,0,0,0,0,0,0,2,0,15,2004
American Kestrel,Falco sparverius,Falco,sparverius,Falconidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
American Redstart,Setophaga ruticilla,Setophaga,ruticilla,Parulidae,2,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,8,2004
American Robin,Turdus migratorius,Turdus,migratorius,Turdidae,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,6,2004
American White Pelican,Pelecanus erythrorhynchos,Pelecanus,erythrorhynchos,Pelecanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,leucocephalus,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Baltimore oriole,Icterus galbula,Icterus,galbula,Icteridae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2004
Barn Swallow,Hirundo rustica,Hirundo,rustica,Hirundinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2004
Bay-breasted Warbler,Dendroica castanea,Dendroica,castanea,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2004
Belted Kingfisher,Ceryle alcyon,Ceryle,alcyon,Alcedinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Black Tern,Chlidonias niger,Chlidonias,niger,Laridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Black-and-white Warbler,Mniotilta varia,Mniotilta,varia,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Blackburnian Warbler,Dendroica fusca,Dendroica,fusca,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2004
Black-capped Chickadee,Parus atricapillus,Parus,atricapillus,Paridae,1,1,0,0,0,0,0,0,2,3,0,3,0,0,1,0,1,12,2004
Blackpoll Warbler,Dendroica striata,Dendroica,striata,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,2004
Black-throated Green Warbler,Dendroica virens,Dendroica,virens,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Blue Jay,Cyanocitta cristata,Cyanocitta,cristata,Corvidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Blue-gray Gnatcatcher,Polioptila caerula,Polioptila,caerula,Polioptilidae,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,6,2004
Blue-headed [solitary] Vireo,Vireo solitarius,Vireo,solitarius,Vireonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Blue-winged Teal,Anas discors,Anas,discors,Anatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Blue-winged Warbler,Vermivora pinus,Vermivora,pinus,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Bobolink,Dolichonyx oryzivorus,Dolichonyx,oryzivorus,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Broad-winged Hawk,Buteo playpterus,Buteo,playpterus,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Brown Thrasher,Toxostoma rufum,Toxostoma,rufum,Mimidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Brown-headed Cowbird,Molothrus ater,Molothrus,ater,Icteridae,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,8,2004
Canada Goose,Branta canadensis,Branta,canadensis,Anatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Canada Warbler,Wilsonia canadensis,Wilsonia,canadensis,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Cape May Warbler,Dendroica tigrina,Dendroica,tigrina,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Caspian tern,Hydroprogne caspia,Hydroprogne,caspia,Laridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Cedar Waxwing,Bombycilla cedrorum,Bombycilla,cedrorum,Bombycillidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Chestnut-sided Warbler,Dendroica pensylvanica,Dendroica,pensylvanica,Parulidae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2004
Chimney Swift,Chaetura pelagica,Chaetura,pelagica,Apodidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Chipping Sparrow,Spizella passerina,Spizella,passerina,Emberizidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Clay-colored Sparrow,Spizella pallida,Spizella,pallida,Emberizidae,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,2004
Cliff Swallow,Petrochelidon pyrrhonota,Petrochelidon,pyrrhonota,Hirundinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2004
Common Grackle,Quiscalus quiscula,Quiscalus,quiscula,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Common Yellowthroat,Geothlypis trichas,Geothlypis,trichas,Parulidae,0,1,2,2,1,3,3,3,2,3,0,0,0,3,0,2,0,25,2004
Connecticut Warbler,Oporornis agilis,Oporornis,agilis,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Cooper's Hawk,Accipiter cooperii,Accipiter,cooperii,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Downy Woodpecker,Picoides pubescens,Picoides,pubescens,Picidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Eastern Bluebird,Sialia sialis,Sialia,sialis,Turdidae,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2004
Eastern Kingbird,Tyrannus tyrannus,Tyrannus,tyrannus,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Eastern Meadowlark,Sturnella magna,Sturnella,magna,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Eastern Phoebe,Sayornis phoebe,Sayornis,phoebe,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Eastern Towhee,Pipilo erythrophthalmus,Pipilo,erythrophthalmus,Emberizidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Eastern Wood-pewee,Contopus virens,Contopus,virens,Tyrannidae,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,2004
European Starling,Sturnus vulgaris,Sturnus,vulgaris,Sturnidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Evening Grosbeak,Coccothraustes vespertinus,Coccothraustes,vespertinus,Fringillidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Field Sparrow,Spizella pusilla,Spizella,pusilla,Emberizidae,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2004
Golden Eagle,Aquila chrysaetos,Aquila,chrysaetos,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Golden-winged Warbler,Vermivora chrysoptera,Vermivora,chrysoptera,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Grasshopper Sparrow,Ammodramus savannarum,Ammodramus,savannarum,Emberizidae,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,8,2004
Gray Catbird,Dumetella caroliniensis,Dumetella,caroliniensis,Mimidae,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,2004
Gray-cheeked Thrush,Catharus minimus,Catharus,minimus,Turdidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Great Blue Heron,Ardea herodius,Ardea,herodius,Ardeidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Great Crested Flycatcher,Myiarchus crinitus,Myiarchus,crinitus,Tyrannidae,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2004
Great Egret,Ardea alba,Ardea,alba,Ardeidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Great Horned Owl,Bubo virginianus,Bubo,virginianus,Strigidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Green Heron,Butorides virescens,Butorides,virescens,Ardeidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Hairy Woodpecker,Picoides villosus,Picoides,villosus,Picidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Henslow's Sparrow,Ammodramus henslowii,Ammodramus,henslowii,Emberizidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Hermit Thrush,Catharus guttatus,Catharus,guttatus,Turdidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
House Finch,Carpodacus mexicanus,Carpodacus,mexicanus,Fringillidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
House Sparrow,Passer domesticus,Passer,domesticus,Passeridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
House Wren,Troglodytes aedon,Troglodytes,aedon,Troglodytidae,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,6,2004
Indigo Bunting,Passerina cyanea,Passerina,cyanea,Cardinalidae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2004
Killdeer,Charadrius vociferus,Charadrius,vociferus,Charadriidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Least Flycatcher,Empidonax minimus,Empidonax,minimus,Tyrannidae,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2004
Magnolia Warbler,Dendroica magnolia,Dendroica,magnolia,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Mallard,Anas platyrhynchos,Anas,platyrhynchos,Anatidae,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2004
Marsh Wren,Cistothorus palustris,Cistothorus,palustris,Troglodytidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
Mourning Dove,Zenaida macroura,Zenaida,macroura,Columbidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2004
